import time: self [us] | cumulative | imported package
import time:       408 |        408 |                   _compression
import time:       622 |        622 |                   _bz2
import time:       471 |       1500 |                 bz2
import time:       575 |        575 |                   _lzma
import time:       478 |       1053 |                 lzma
import time:       790 |       3418 |               shutil
import time:        35 |         35 |                   _bisect
import time:       352 |        387 |                 bisect
import time:        25 |         25 |                 _random
import time:       616 |       1027 |               random
import time:       634 |       5078 |             tempfile
import time:       614 |       5691 |           anyio._core._tempfile
import time:       744 |      51321 |         anyio
import time:      1951 |       1951 |                       typing_extensions
import time:       863 |        863 |                       pydantic_core._pydantic_core
import time:       585 |        585 |                             numbers
import time:      1003 |       1587 |                           _decimal
import time:       423 |       2010 |                         decimal
import time:      7826 |       9836 |                       pydantic_core.core_schema
import time:       961 |      13610 |                     pydantic_core
import time:       282 |      13891 |                   pydantic.version
import time:       429 |      14320 |                 pydantic.warnings
import time:       492 |      14811 |               pydantic._migration
import time:       527 |        527 |                   typing_inspection
import time:      1218 |       1218 |                   typing_inspection.typing_objects
import time:       946 |       2690 |                 typing_inspection.introspection
import time:       410 |        410 |                 pydantic._internal
import time:       493 |        493 |                     pydantic._internal._namespace_utils
import time:       556 |       1048 |                   pydantic._internal._typing_extra
import time:       500 |       1548 |                 pydantic._internal._repr
import time:       635 |       5281 |               pydantic.errors
import time:       589 |      20681 |             pydantic
import time:       245 |        245 |                 pydantic._internal._internal_dataclass
import time:      1017 |       1261 |               pydantic.aliases
import time:      1103 |       1103 |               pydantic.config
import time:       507 |       2870 |             pydantic._internal._config
import time:       536 |        536 |               pydantic._internal._core_utils
import time:       564 |        564 |                 pydantic._internal._import_utils
import time:      1115 |       1679 |               pydantic._internal._utils
import time:      3379 |       5593 |             pydantic._internal._decorators
import time:       562 |        562 |                 pydantic._internal._forward_ref
import time:       554 |       1116 |               pydantic._internal._generics
import time:       381 |        381 |               pydantic._internal._docs_extraction
import time:       881 |       2377 |             pydantic._internal._fields
import time:       683 |        683 |                 pydantic.plugin
import time:       561 |       1244 |               pydantic.plugin._schema_validator
import time:       484 |       1727 |             pydantic._internal._mock_val_ser
import time:      1317 |       1317 |                 fractions
import time:       651 |        651 |                   _uuid
import time:       646 |       1296 |                 uuid
import time:      1347 |       1347 |                     sysconfig
import time:        36 |         36 |                     _sysconfig
import time:      1163 |       2545 |                   zoneinfo._tzpath
import time:       593 |        593 |                   zoneinfo._common
import time:       937 |        937 |                   _zoneinfo
import time:       517 |       4592 |                 zoneinfo
import time:       535 |        535 |                 pydantic.annotated_handlers
