import time: self [us] | cumulative | imported package
import time:      1083 |       1379 |                 pandas._libs.lib
import time:       564 |        564 |                   pandas.core.dtypes.generic
import time:       453 |       1016 |                 pandas.core.dtypes.base
import time:       424 |        424 |                 pandas.core.dtypes.inference
import time:      1460 |       4630 |               pandas.core.dtypes.dtypes
import time:       492 |        492 |                 pandas.core.dtypes.common
import time:       479 |        971 |               pandas.core.dtypes.missing
import time:       343 |        343 |                     pandas.io
import time:       485 |        828 |                   pandas.io._util
import time:       625 |       1452 |                 pandas.core.dtypes.cast
import time:       303 |        303 |                   pandas.core.dtypes.astype
import time:       343 |        646 |                 pandas.core.dtypes.concat
import time:       317 |        317 |                   pandas.core.array_algos
import time:      4112 |       4112 |                       numpy.ma.core
import time:      1098 |       1098 |                       numpy.ma.extras
import time:       446 |       5655 |                     numpy.ma
import time:       653 |        653 |                       pandas.core.col
import time:       508 |       1160 |                     pandas.core.common
import time:       406 |       7221 |                   pandas.core.construction
import time:       579 |       8115 |                 pandas.core.array_algos.take
import time:       523 |        523 |                   pandas.core.indexers.utils
import time:       429 |        951 |                 pandas.core.indexers
import time:       534 |      11697 |               pandas.core.algorithms
import time:       530 |        530 |                   pandas.core.arrays.arrow.accessors
import time:       709 |        709 |                     unicodedata
import time:       489 |        489 |                     pandas.core.missing
import time:       518 |        518 |                         pandas._libs.ops
import time:       318 |        318 |                         pandas.core.roperator
import time:       347 |        347 |                         pandas.core.computation
import time:       582 |        582 |                           pandas.core.computation.check
import time:       520 |       1101 |                         pandas.core.computation.expressions
import time:       302 |        302 |                         pandas.core.ops.missing
import time:       254 |        254 |                         pandas.core.ops.dispatch
import time:       276 |        276 |                         pandas.core.ops.invalid
import time:       595 |       3707 |                       pandas.core.ops.array_ops
import time:       299 |        299 |                       pandas.core.ops.common
import time:       353 |        353 |                       pandas.core.ops.docstrings
import time:       270 |        270 |                       pandas.core.ops.mask_ops
import time:       416 |       5042 |                     pandas.core.ops
import time:       432 |        432 |                     pandas.core.arraylike
import time:       602 |        602 |                     pandas.core.arrays._arrow_string_mixins
import time:       335 |        335 |                     pandas.core.arrays._utils
import time:       370 |        370 |                         pandas.util._validators
import time:       711 |       1081 |                       pandas.compat.numpy.function
import time:       366 |        366 |                       pandas.core.array_algos.quantile
import time:       428 |        428 |                       pandas.core.sorting
import time:       720 |       2593 |                     pandas.core.arrays.base
import time:      1118 |       1118 |                       pandas.core.nanops
import time:       338 |        338 |                       pandas.core.array_algos.masked_accumulations
import time:       308 |        308 |                       pandas.core.array_algos.masked_reductions
import time:       271 |        271 |                       pandas.core.array_algos.transforms
import time:       331 |        331 |                         pandas.core.util
import time:       476 |        476 |                         pandas._libs.hashing
import time:       480 |       1286 |                       pandas.core.util.hashing
import time:       955 |       4274 |                     pandas.core.arrays.masked
import time:       499 |        499 |                       pandas._libs.arrays
import time:       435 |        435 |                         pandas.core.arrays.numeric
import time:       423 |        858 |                       pandas.core.arrays.floating
import time:       471 |        471 |                       pandas.core.arrays.integer
import time:       547 |        547 |                         pandas.core.arrays._mixins
import time:       353 |        353 |                           pandas.core.strings
import time:       627 |        979 |                         pandas.core.strings.object_array
import time:       478 |       2003 |                       pandas.core.arrays.numpy_
import time:       349 |        349 |                       pandas.io.formats
import time:       337 |        337 |                         pandas.io.formats.console
import time:       598 |        935 |                       pandas.io.formats.printing
import time:      1001 |       6112 |                     pandas.core.arrays.string_
import time:       339 |        339 |                       pandas.tseries
import time:       706 |       1045 |                     pandas.tseries.frequencies
import time:      1588 |      23217 |                   pandas.core.arrays.arrow.array
import time:       456 |      24202 |                 pandas.core.arrays.arrow
import time:       493 |        493 |                 pandas.core.arrays.boolean
import time:        67 |         67 |                     _csv
import time:       553 |        619 |                   csv
import time:       408 |        408 |                   pandas.core.accessor
import time:       593 |        593 |                   pandas.core.base
import time:       884 |       2503 |                 pandas.core.arrays.categorical
import time:       724 |        724 |                   pandas._libs.tslib
import time:       370 |        370 |                     pandas.core.array_algos.datetimelike_accumulations
import time:      1244 |       1614 |                   pandas.core.arrays.datetimelike
import time:       335 |        335 |                   pandas.core.arrays._ranges
import time:       286 |        286 |                   pandas.tseries.offsets
import time:       854 |       3811 |                 pandas.core.arrays.datetimes
import time:       614 |        614 |                   pandas.core.arrays.timedeltas
import time:       941 |       1555 |                 pandas.core.arrays.interval
import time:       669 |        669 |                 pandas.core.arrays.period
import time:       633 |        633 |                       pandas._libs.sparse
import time:       870 |       1502 |                     pandas.core.arrays.sparse.array
import time:       533 |       2035 |                   pandas.core.arrays.sparse.accessor
import time:       386 |       2421 |                 pandas.core.arrays.sparse
import time:       502 |        502 |                 pandas.core.arrays.string_arrow
import time:       437 |      36591 |               pandas.core.arrays
import time:       338 |        338 |               pandas.core.flags
import time:       614 |        614 |                     pandas._libs.internals
import time:       381 |        381 |                       pandas.core._numba
import time:       359 |        359 |                       pandas.core.util.numba_
import time:       485 |       1225 |                     pandas.core._numba.executor
import time:       814 |       2652 |                   pandas.core.apply
import time:       443 |        443 |                     pandas.errors.cow
import time:       536 |        536 |                         pandas._libs.indexing
import time:       397 |        397 |                           pandas.core.indexes
import time:      1027 |       1027 |                             pandas._libs.index
import time:       502 |        502 |                             pandas._libs.writers
import time:       629 |        629 |                             pandas._libs.join
import time:       347 |        347 |                             pandas.core.array_algos.putmask
import time:       353 |        353 |                             pandas.core.indexes.frozen
import time:       775 |        775 |                             pandas.core.strings.accessor
import time:      1905 |       5535 |                           pandas.core.indexes.base
import time:       424 |        424 |                             pandas.core.indexes.extension
import time:       656 |       1080 |                           pandas.core.indexes.category
import time:       628 |        628 |                               pandas.core.indexes.range
import time:       403 |        403 |                                 pandas.core.tools
import time:       474 |        877 |                               pandas.core.tools.timedeltas
import time:       622 |       2126 |                             pandas.core.indexes.datetimelike
import time:       324 |        324 |                             pandas.core.tools.times
import time:       740 |       3189 |                           pandas.core.indexes.datetimes
import time:      1052 |       1052 |                             pandas.core.indexes.multi
import time:       692 |        692 |                             pandas.core.indexes.timedeltas
import time:      2338 |       4082 |                           pandas.core.indexes.interval
import time:       790 |        790 |                           pandas.core.indexes.period
import time:       581 |      15651 |                         pandas.core.indexes.api
import time:      1381 |      17567 |                       pandas.core.indexing
import time:       384 |        384 |                       pandas.core.sample
import time:       367 |        367 |                       pandas.core.array_algos.replace
import time:      1061 |       1061 |                           pandas.core.internals.blocks
import time:       465 |       1525 |                         pandas.core.internals.api
import time:       542 |        542 |                             pandas.core.internals.ops
import time:       865 |       1407 |                           pandas.core.internals.managers
import time:       463 |       1869 |                         pandas.core.internals.concat
import time:       379 |       3773 |                       pandas.core.internals
import time:       394 |        394 |                         pandas.core.methods
import time:       333 |        333 |                           pandas.core.reshape
import time:       574 |        907 |                         pandas.core.reshape.concat
import time:       801 |        801 |                             gzip
import time:        71 |         71 |                             mmap
import time:       297 |        297 |                               pwd
import time:       240 |        240 |                               grp
import time:      1288 |       1825 |                             tarfile
import time:      1428 |       4123 |                           pandas.io.common
import time:       816 |       4938 |                         pandas.io.formats.format
import time:       584 |       6822 |                       pandas.core.methods.describe
import time:       372 |        372 |                       pandas.core.shared_docs
import time:       351 |        351 |                             pandas._libs.window
import time:       809 |       1160 |                           pandas._libs.window.aggregations
import time:       506 |        506 |                             pandas._libs.window.indexers
import time:       454 |        959 |                           pandas.core.indexers.objects
import time:       378 |        378 |                           pandas.core.window.common
import time:       472 |        472 |                           pandas.core.window.numba_
import time:       389 |        389 |                           pandas.core.window.online
import time:      1162 |       1162 |                           pandas.core.window.rolling
import time:       670 |       5187 |                         pandas.core.window.ewm
import time:       570 |        570 |                         pandas.core.window.expanding
import time:       370 |       6126 |                       pandas.core.window
import time:      1895 |      37303 |                     pandas.core.generic
import time:       510 |        510 |                     pandas.core.internals.construction
import time:       516 |        516 |                     pandas.core.methods.selectn
import time:       329 |        329 |                       pandas.core.tools.numeric
import time:       379 |        708 |                     pandas.core.reshape.melt
import time:       590 |        590 |                       pandas._libs.reshape
import time:       909 |        909 |                       pandas.core.indexes.accessors
import time:       369 |        369 |                         pandas.arrays
import time:       801 |       1170 |                       pandas.core.tools.datetimes
import time:       775 |        775 |                       pandas.io.formats.info
import time:       606 |        606 |                         pandas.plotting._core
import time:       400 |        400 |                         pandas.plotting._misc
import time:       445 |       1449 |                       pandas.plotting
import time:      2662 |       7553 |                     pandas.core.series
import time:      4287 |      51316 |                   pandas.core.frame
import time:      1080 |       1080 |                   pandas.core.groupby.base
import time:      1138 |       1138 |                     pandas._libs.groupby
import time:       426 |        426 |                     pandas.core.groupby.numba_
import time:       320 |        320 |                         pandas.core.groupby.categorical
import time:       550 |        869 |                       pandas.core.groupby.grouper
import time:       944 |       1813 |                     pandas.core.groupby.ops
import time:       426 |        426 |                     pandas.core.groupby.indexing
import time:      1213 |       5014 |                   pandas.core.groupby.groupby
import time:      1335 |      61395 |                 pandas.core.groupby.generic
import time:       348 |      61743 |               pandas.core.groupby
import time:       471 |     116438 |             pandas.core.api
import time:       338 |        338 |             pandas.tseries.api
import time:       253 |        253 |                     pandas.core.computation.common
import time:       326 |        579 |                   pandas.core.computation.align
import time:       535 |        535 |                       pprint
import time:       395 |        929 |                     pandas.core.computation.scope
import time:       533 |       1462 |                   pandas.core.computation.ops
import time:       354 |       2393 |                 pandas.core.computation.engines
import time:       454 |        454 |                   pandas.core.computation.parsing
import time:      1230 |       1683 |                 pandas.core.computation.expr
import time:       326 |       4402 |               pandas.core.computation.eval
import time:       269 |       4670 |             pandas.core.computation.api
import time:       356 |        356 |               pandas.core.reshape.encoding
import time:       792 |        792 |               pandas.core.reshape.merge
import time:       445 |        445 |               pandas.core.reshape.pivot
import time:       397 |        397 |               pandas.core.reshape.tile
import time:       366 |       2354 |             pandas.core.reshape.api
import time:       436 |        436 |               pandas.api.executors
import time:       303 |        303 |               pandas.api.extensions
import time:       282 |        282 |               pandas.api.indexers
import time:       287 |        287 |                   pandas.core.interchange
import time:      1025 |       1311 |                 pandas.core.interchange.dataframe_protocol
import time:       345 |        345 |                   pandas.core.interchange.utils
import time:       468 |        813 |                 pandas.core.interchange.from_dataframe
import time:       295 |       2418 |               pandas.api.interchange
import time:       462 |        462 |                 pandas.core.dtypes.api
import time:       531 |        993 |               pandas.api.types
import time:       954 |        954 |                 pandas.core.resample
import time:       451 |        451 |                       pandas._libs.json
import time:       397 |        397 |                       pandas.io.json._normalize
import time:       364 |        364 |                       pandas.io.json._table_schema
import time:       687 |        687 |                             pandas._libs.parsers
import time:       620 |        620 |                               pandas.io.parsers.base_parser
import time:       488 |       1107 |                             pandas.io.parsers.arrow_parser_wrapper
import time:       426 |        426 |                             pandas.io.parsers.c_parser_wrapper
import time:       622 |        622 |                             pandas.io.parsers.python_parser
import time:       899 |       3739 |                           pandas.io.parsers.readers
import time:       377 |       4116 |                         pandas.io.parsers
import time:        24 |       4139 |                       pandas.io.parsers.readers
import time:      1122 |       6471 |                     pandas.io.json._json
import time:       410 |       6880 |                   pandas.io.json
import time:        24 |       6903 |                 pandas.io.json._json
import time:       457 |        457 |                     pandas.io.sas.sasreader
import time:       391 |        848 |                   pandas.io.sas
import time:        21 |        868 |                 pandas.io.sas.sasreader
import time:      1342 |       1342 |                 pandas.io.stata
import time:       473 |      10538 |               pandas.api.typing
import time:       439 |      15405 |             pandas.api
import time:       601 |        601 |                     _queue
import time:       507 |       1108 |                   queue
import time:       380 |       1488 |                 concurrent.futures.thread
import time:       460 |        460 |                 pandas._testing._io
import time:       318 |        318 |                 pandas._testing._warnings
import time:        42 |         42 |                     cmath
import time:       452 |        494 |                   pandas._libs.testing
import time:       501 |        994 |                 pandas._testing.asserters
import time:       392 |        392 |                 pandas._testing.compat
import time:       301 |        301 |                 pandas._testing.contexts
import time:       650 |       4601 |               pandas._testing
import time:       339 |       4939 |             pandas.testing
import time:       367 |        367 |             pandas.util._print_versions
import time:       334 |        334 |               pandas.io.clipboards
import time:       361 |        361 |                   pandas.io.excel._util
import time:       401 |        401 |                   pandas.io.excel._calamine
import time:       452 |        452 |                   pandas.io.excel._odfreader
import time:       547 |        547 |                   pandas.io.excel._openpyxl
import time:       365 |        365 |                   pandas.io.excel._pyxlsb
import time:       364 |        364 |                   pandas.io.excel._xlrd
import time:       852 |       3339 |                 pandas.io.excel._base
import time:       371 |        371 |                 pandas.io.excel._odswriter
import time:       573 |        573 |                 pandas.io.excel._xlsxwriter
import time:       377 |       4658 |               pandas.io.excel
import time:       356 |        356 |               pandas.io.feather_format
import time:       586 |        586 |               pandas.io.html
import time:       333 |        333 |               pandas.io.iceberg
import time:       317 |        317 |               pandas.io.orc
import time:       398 |        398 |               pandas.io.parquet
import time:       326 |        326 |                 pandas.compat.pickle_compat
import time:       317 |        643 |               pandas.io.pickle
import time:       647 |        647 |                 pandas.core.computation.pytables
import time:      1673 |       2320 |               pandas.io.pytables
import time:       340 |        340 |               pandas.io.spss
import time:       792 |        792 |               pandas.io.sql
import time:       476 |        476 |               pandas.io.xml
import time:       418 |      11965 |             pandas.io.api
import time:       303 |        303 |             pandas.util._tester
import time:       239 |        239 |             pandas._version_meson
import time:       824 |     284304 |           pandas
import time:       353 |        353 |               sqlalchemy.dialects.postgresql.operators
import time:       681 |       1034 |             sqlalchemy.dialects.postgresql.array
import time:       568 |        568 |               sqlalchemy.dialects.postgresql.json
import time:      3977 |       3977 |               sqlalchemy.dialects.postgresql.ranges
import time:       667 |        667 |                   sqlalchemy.dialects.postgresql.types
import time:      3921 |       4588 |                 sqlalchemy.dialects.postgresql.pg_catalog
import time:      1030 |       1030 |                 sqlalchemy.dialects.postgresql.ext
import time:      1032 |       1032 |                 sqlalchemy.dialects.postgresql.hstore
import time:       714 |        714 |                 sqlalchemy.dialects.postgresql.named_types
import time:      3798 |      11160 |               sqlalchemy.dialects.postgresql.base
import time:       415 |        415 |                 sqlalchemy.connectors
import time:       703 |       1117 |               sqlalchemy.connectors.asyncio
import time:      1340 |      18160 |             sqlalchemy.dialects.postgresql.asyncpg
import time:      1281 |       1281 |             sqlalchemy.dialects.postgresql.pg8000
import time:       574 |        574 |               sqlalchemy.dialects.postgresql._psycopg_common
import time:      1038 |       1611 |             sqlalchemy.dialects.postgresql.psycopg
import time:       674 |        674 |             sqlalchemy.dialects.postgresql.psycopg2
import time:       344 |        344 |             sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       417 |        417 |               sqlalchemy.dialects._typing
import time:       893 |       1310 |             sqlalchemy.dialects.postgresql.dml
import time:       677 |      25088 |           sqlalchemy.dialects.postgresql
import time:       358 |        358 |                 sqlalchemy.dialects.sqlite.json
import time:      1839 |       2196 |               sqlalchemy.dialects.sqlite.base
import time:       811 |        811 |               sqlalchemy.dialects.sqlite.pysqlite
import time:       719 |       3725 |             sqlalchemy.dialects.sqlite.aiosqlite
import time:       350 |        350 |             sqlalchemy.dialects.sqlite.pysqlcipher
import time:       760 |        760 |             sqlalchemy.dialects.sqlite.dml
import time:       461 |       5295 |           sqlalchemy.dialects.sqlite
import time:      1231 |       1231 |                 dotenv.parser
import time:       564 |        564 |                 dotenv.variables
import time:       740 |       2534 |               dotenv.main
import time:       542 |       3076 |             dotenv
import time:       460 |        460 |             src.report_language
import time:     12147 |      15681 |           src.config
import time:       274 |        274 |               src.core
import time:       882 |       1156 |             src.core.config_registry
import time:      3795 |       4950 |           src.permissions
import time:     43572 |     379216 |         src.storage
import time:       473 |        473 |           src.services
import time:      1154 |       1154 |               urllib3.exceptions
import time:       441 |        441 |                       urllib3.util.timeout
import time:       738 |       1179 |                     urllib3.util.connection
import time:       273 |        273 |                       urllib3.util.util
import time:       267 |        267 |                       brotlicffi
import time:       221 |        221 |                       brotli
import time:       205 |        205 |                       backports
import time:       694 |       1659 |                     urllib3.util.request
import time:       302 |        302 |                     urllib3.util.response
import time:       587 |        587 |                     urllib3.util.retry
import time:      4523 |       4523 |                       urllib3.util.url
import time:       630 |        630 |                       urllib3.util.ssltransport
import time:       508 |       5659 |                     urllib3.util.ssl_
import time:       342 |        342 |                     urllib3.util.wait
import time:       389 |      10114 |                   urllib3.util
import time:        28 |      10142 |                 urllib3.util.connection
import time:       762 |      10903 |               urllib3._base_connection
import time:       908 |        908 |               urllib3._collections
import time:       331 |        331 |               urllib3._version
import time:       345 |        345 |                     urllib3.fields
import time:       325 |        670 |                   urllib3.filepost
import time:       308 |        308 |                     brotlicffi
import time:       230 |        230 |                     brotli
import time:       397 |        397 |                       urllib3.http2
import time:       437 |        437 |                       urllib3.http2.probe
import time:       313 |        313 |                       urllib3.util.ssl_match_hostname
import time:       822 |       1967 |                     urllib3.connection
import time:       296 |        296 |                     backports
import time:       952 |       3753 |                   urllib3.response
import time:       392 |       4814 |                 urllib3._request_methods
import time:       330 |        330 |                 urllib3.util.proxy
import time:       582 |       5726 |               urllib3.connectionpool
import time:       958 |        958 |               urllib3.poolmanager
import time:       700 |      20678 |             urllib3
import time:       762 |        762 |                     81d243bd2c585b0f4821__mypyc
import time:      1116 |       1116 |                     charset_normalizer.constant
import time:       869 |        869 |                     charset_normalizer.utils
import time:       619 |        619 |                     charset_normalizer.models
import time:       937 |       4301 |                   charset_normalizer.cd
import time:        33 |         33 |                   _codecs_tw
import time:        30 |         30 |                   _codecs_hk
import time:        41 |         41 |                   _codecs_jp
import time:        31 |         31 |                   _codecs_kr
import time:        31 |         31 |                   _codecs_iso2022
import time:     33455 |      37920 |                 charset_normalizer.api
import time:       332 |        332 |                 charset_normalizer.legacy
import time:       288 |        288 |                 charset_normalizer.version
import time:       427 |        427 |                   simplejson.errors
import time:       285 |        285 |                   simplejson.raw_json
import time:       248 |        248 |                     simplejson.compat
import time:       738 |        738 |                       simplejson._speedups
import time:       302 |       1039 |                     simplejson.scanner
import time:       440 |       1726 |                   simplejson.decoder
import time:       611 |        611 |                   simplejson.encoder
import time:       639 |       3687 |                 simplejson
import time:       313 |        313 |                       urllib.response
import time:       375 |        687 |                     urllib.error
import time:       413 |        413 |                     nturl2path
import time:      1527 |       2626 |                   urllib.request
import time:      2019 |       4645 |                 http.cookiejar
import time:      1107 |      47976 |               requests.compat
import time:       739 |      48715 |             requests.exceptions
import time:       295 |        295 |             chardet
import time:       402 |        402 |                   idna.idnadata
import time:       282 |        282 |                   idna.intranges
import time:       811 |       1493 |                 idna.core
import time:       291 |        291 |                 idna.package_data
import time:       502 |       2285 |               idna
import time:       674 |       2958 |             requests.packages
import time:       386 |        386 |                   certifi.core
import time:       474 |        859 |                 certifi
import time:       250 |       1108 |               requests.certs
import time:       233 |        233 |               requests.__version__
import time:       424 |        424 |               requests._internal_utils
import time:       487 |        487 |               requests.cookies
import time:       494 |        494 |               requests.structures
import time:       883 |        883 |               importlib.resources._adapters
import time:       280 |        280 |                   importlib.resources._itertools
import time:       552 |        831 |                 importlib.resources.readers
import time:       464 |       1295 |               importlib.readers
import time:       831 |       5752 |             requests.utils
import time:       394 |        394 |                   requests.auth
import time:       515 |        515 |                       stringprep
import time:       436 |        951 |                     encodings.idna
import time:       318 |        318 |                     requests.hooks
import time:       510 |        510 |                     requests.status_codes
import time:       827 |       2603 |                   requests.models
import time:       364 |        364 |                     urllib3.contrib
import time:       257 |        257 |                     socks
import time:       471 |       1090 |                   urllib3.contrib.socks
import time:       461 |       4548 |                 requests.adapters
import time:       511 |       5059 |               requests.sessions
import time:       342 |       5400 |             requests.api
import time:       795 |      84591 |           requests
import time:       882 |        882 |           src.core.config_manager
import time:       876 |      86822 |         src.services.system_config_service
import time:      1151 |       1151 |         src.user_context
import time:       411 |     705749 |       api.deps
import time:      2029 |       2029 |               api.v1.schemas.common
import time:       282 |        282 |                   src.utils
import time:       334 |        616 |                 src.utils.analysis_metadata
import time:      8006 |       8621 |               api.v1.schemas.analysis
import time:      8621 |       8621 |               api.v1.schemas.history
import time:      4627 |       4627 |               api.v1.schemas.stocks
import time:      8638 |       8638 |               api.v1.schemas.backtest
import time:     10789 |      10789 |               api.v1.schemas.system_config
import time:     17791 |      17791 |               api.v1.schemas.portfolio
import time:       443 |      61557 |             api.v1.schemas
import time:        31 |      61588 |           api.v1.schemas.common
import time:       592 |        592 |                   pydantic.v1.typing
import time:      1161 |       1752 |                 pydantic.v1.errors
import time:       257 |        257 |                     cython
import time:       298 |        555 |                   pydantic.v1.version
import time:      1244 |       1799 |                 pydantic.v1.utils
import time:       595 |       4145 |               pydantic.v1.class_validators
import time:       830 |        830 |               pydantic.v1.config
import time:       558 |        558 |                   pydantic.v1.color
import time:      1906 |       1906 |                       pydantic.v1.datetime_parse
import time:       685 |       2590 |                     pydantic.v1.validators
import time:      1250 |       3840 |                   pydantic.v1.networks
import time:      2003 |       2003 |                   pydantic.v1.types
import time:       391 |       6790 |                 pydantic.v1.json
import time:       541 |       7331 |               pydantic.v1.error_wrappers
import time:       885 |        885 |               pydantic.v1.fields
import time:       430 |        430 |                 pydantic.v1.parse
import time:       772 |        772 |                 pydantic.v1.schema
import time:      1138 |       2340 |               pydantic.v1.main
import time:       734 |      16262 |             pydantic.v1.dataclasses
import time:       388 |        388 |             pydantic.v1.annotated_types
import time:       479 |        479 |             pydantic.v1.decorator
import time:       785 |        785 |             pydantic.v1.env_settings
import time:       415 |        415 |             pydantic.v1.tools
import time:       671 |      18998 |           pydantic.v1
import time:      1018 |      81603 |         api.v1.endpoints.health
import time:       394 |        394 |                     src.data.stock_mapping
import time:       354 |        748 |                   src.data
import time:       298 |       1045 |                 src.data.stock_index_loader
import time:       647 |        647 |                 data_provider.fundamental_adapter
import time:      1699 |       3390 |               data_provider.base
import time:       558 |        558 |                   tenacity._utils
import time:       638 |        638 |                   tenacity.retry
import time:       333 |        333 |                   tenacity.nap
import time:       431 |        431 |                   tenacity.stop
import time:       801 |        801 |                   tenacity.wait
import time:       424 |        424 |                   tenacity.before
import time:       316 |        316 |                   tenacity.after
import time:       281 |        281 |                   tenacity.before_sleep
import time:       264 |        264 |                   tornado
import time:       658 |        658 |                     tenacity.asyncio.retry
import time:       650 |       1308 |                   tenacity.asyncio
import time:      2442 |       7791 |                 tenacity
import time:       344 |        344 |                   patch
import time:       395 |        395 |                     fake_useragent.errors
import time:       246 |        246 |                       fake_useragent.log
import time:       380 |        380 |                       fake_useragent.utils
import time:       471 |       1096 |                     fake_useragent.fake
import time:       301 |        301 |                         importlib.metadata._text
import time:       371 |        672 |                       importlib.metadata._adapters
import time:      1308 |       1979 |                     fake_useragent.get_version
import time:       515 |       3983 |                   fake_useragent
import time:     30571 |      34897 |                 patch.eastmoney_patch
import time:      1985 |       1985 |                 data_provider.realtime_types
import time:      1335 |      46006 |               data_provider.efinance_fetcher
import time:       366 |        366 |                 data_provider.us_index_mapping
import time:       922 |       1288 |               data_provider.akshare_fetcher
import time:       723 |        723 |               data_provider.tushare_fetcher
import time:       474 |        474 |               data_provider.pytdx_fetcher
import time:       403 |        403 |               data_provider.baostock_fetcher
import time:       463 |        463 |               data_provider.yfinance_fetcher
import time:       467 |        467 |               data_provider.longbridge_fetcher
import time:       415 |      53625 |             data_provider
import time:        19 |      53643 |           data_provider.base
import time:       257 |        257 |           src.services.prediction_cycle_meta
import time:       754 |        754 |             difflib
import time:       298 |        298 |             src.services.stock_code_utils
import time:       341 |       1393 |           src.services.name_to_code_resolver
import time:      1369 |       1369 |           src.services.task_queue
import time:       521 |        521 |           src.utils.data_processing
import time:      5656 |      62836 |         api.v1.endpoints.analysis
import time:      1360 |       1360 |           api.v1.schemas.public_reports
import time:       578 |        578 |           src.services.history_service
import time:       339 |        339 |           src.services.history_report_builder
import time:       332 |        332 |           src.services.report_public_share_service
import time:      9909 |      12516 |         api.v1.endpoints.history
import time:       423 |        423 |           src.services.image_stock_extractor
import time:       355 |        355 |           src.services.import_parser
import time:       423 |        423 |                 src.repositories.analysis_repo
import time:       393 |        393 |                 src.repositories.backtest_repo
import time:       340 |        340 |                 src.repositories.stock_repo
import time:       307 |       1463 |               src.repositories
import time:        17 |       1479 |             src.repositories.stock_repo
import time:       292 |       1771 |           src.services.stock_service
import time:     45860 |      48407 |         api.v1.endpoints.stocks
import time:      1084 |       1084 |             src.core.backtest_engine
import time:       344 |        344 |             src.utils.backtest_display
import time:       628 |       2055 |           src.services.backtest_service
import time:      7752 |       9807 |         api.v1.endpoints.backtest
import time:      8897 |       8897 |         api.v1.endpoints.system_config
import time:       356 |        356 |               termios
import time:       623 |        979 |             getpass
import time:       835 |       1814 |           src.auth
import time:      5705 |       7519 |         api.v1.endpoints.auth
import time:       420 |        420 |           src.services.agent_model_service
import time:     11723 |      12142 |         api.v1.endpoints.agent
import time:      1812 |       1812 |           api.v1.schemas.usage
import time:      1198 |       3009 |         api.v1.endpoints.usage
import time:       606 |        606 |             src.repositories.portfolio_repo
import time:       378 |        378 |                 yfinance.version
import time:       905 |        905 |                     yfinance.const
import time:       553 |        553 |                     yfinance.exceptions
import time:       346 |        346 |                     yfinance.config
import time:       674 |       2477 |                   yfinance.utils
import time:      1165 |       1165 |                       _cffi_backend
import time:      1098 |       1098 |                         curl_cffi._wrapper
import time:      3443 |       4541 |                       curl_cffi.__version__
import time:      4244 |       4244 |                         curl_cffi.const
import time:       316 |        316 |                           curl_cffi.utils
import time:       930 |       1246 |                         curl_cffi.curl
import time:       531 |       6020 |                       curl_cffi.aio
import time:       762 |        762 |                             curl_cffi.requests.exceptions
import time:       260 |       1021 |                           curl_cffi.requests.errors
import time:      1113 |       2134 |                         curl_cffi.requests.cookies
import time:       660 |        660 |                         curl_cffi.requests.headers
import time:      1555 |       1555 |                         curl_cffi.requests.impersonate
import time:       307 |        307 |                           orjson
import time:       237 |        237 |                           markdownify
import time:       596 |       1138 |                         curl_cffi.requests.models
import time:       655 |        655 |                           curl_cffi.requests.utils
import time:      1572 |       1572 |                           curl_cffi.requests.websockets
import time:      1186 |       3413 |                         curl_cffi.requests.session
import time:       503 |       9400 |                       curl_cffi.requests
import time:       580 |      21705 |                     curl_cffi
import time:       712 |        712 |                             bs4._typing
import time:      1044 |       1044 |                               soupsieve.__meta__
import time:       494 |        494 |                                 soupsieve.util
import time:      1112 |       1112 |                                     soupsieve.pretty
import time:       565 |       1676 |                                   soupsieve.css_types
import time:      1325 |       3001 |                                 soupsieve.css_match
import time:     22412 |      25906 |                               soupsieve.css_parser
import time:       739 |      27688 |                             soupsieve
import time:       432 |      28830 |                           bs4.css
import time:       694 |        694 |                           bs4._deprecation
import time:       329 |        329 |                               cchardet
import time:       253 |        253 |                               chardet
import time:     82793 |      83375 |                             bs4.dammit
import time:       660 |      84034 |                           bs4.formatter
import time:       609 |        609 |                           bs4._warnings
import time:       581 |        581 |                           bs4.filter
import time:      1782 |     116529 |                         bs4.element
import time:       423 |        423 |                         bs4.exceptions
import time:       668 |        668 |                             _markupbase
import time:      1977 |       2644 |                           html.parser
import time:       608 |       3252 |                         bs4.builder._htmlparser
import time:        72 |         72 |                                 six.moves.urllib
import time:       489 |        489 |                                   webencodings.labels
import time:       352 |        352 |                                   encodings.utf_16_le
import time:       301 |        301 |                                   encodings.utf_16_be
import time:      1041 |       2182 |                                 webencodings
import time:      1026 |       1026 |                                 html5lib.constants
import time:       407 |        407 |                                       xml
import time:       439 |        845 |                                     xml.etree
import time:       579 |        579 |                                     xml.etree.ElementPath
import time:       774 |        774 |                                       pyexpat
import time:       762 |       1536 |                                     _elementtree
import time:       883 |       3842 |                                   xml.etree.ElementTree
